{'ACC': np.float64(0.27841291190316075), 'ARI': 0.21034724991968315, 'NMI': 0.6224170134689805, 'p_ACC': np.float64(0.000999000999000999), 'p_ARI': np.float64(0.000999000999000999), 'p_NMI': np.float64(0.000999000999000999)}
{'ACC': np.float64(0.3742434431741762), 'ARI': 0.2499564961901948, 'NMI': 0.6910576758688479, 'p_ACC': np.float64(0.000999000999000999), 'p_ARI': np.float64(0.000999000999000999), 'p_NMI': np.float64(0.000999000999000999)}
{'ACC': np.float64(0.4940720474236206), 'ARI': 0.5103671686268366, 'NMI': 0.7722860130827048, 'p_ACC': np.float64(0.000999000999000999), 'p_ARI': np.float64(0.000999000999000999), 'p_NMI': np.float64(0.000999000999000999)}
{'ACC': np.float64(0.2678279804028307), 'ARI': 0.14565869866817643, 'NMI': 0.5769417123445567, 'p_ACC': np.float64(0.000999000999000999), 'p_ARI': np.float64(0.000999000999000999), 'p_NMI': np.float64(0.000999000999000999)}
{'ACC': np.float64(0.27841291190316075), 'ARI': 0.21034724991968315, 'NMI': 0.6224170134689806, 'p_ACC': np.float64(0.000999000999000999), 'p_ARI': np.float64(0.000999000999000999), 'p_NMI': np.float64(0.000999000999000999)}
{'ACC': np.float64(0.3742434431741762), 'ARI': 0.2499564961901948, 'NMI': 0.6910576758688476, 'p_ACC': np.float64(0.000999000999000999), 'p_ARI': np.float64(0.000999000999000999), 'p_NMI': np.float64(0.000999000999000999)}
{'ACC': np.float64(0.4940720474236206), 'ARI': 0.5103671686268366, 'NMI': 0.7722860130827051, 'p_ACC': np.float64(0.000999000999000999), 'p_ARI': np.float64(0.000999000999000999), 'p_NMI': np.float64(0.000999000999000999)}
{'ACC': np.float64(0.2678279804028307), 'ARI': 0.14565869866817643, 'NMI': 0.5769417123445568, 'p_ACC': np.float64(0.000999000999000999), 'p_ARI': np.float64(0.000999000999000999), 'p_NMI': np.float64(0.000999000999000999)}
{'ACC': np.float64(0.13686868686868686), 'ARI': 0.05318905960313663, 'NMI': 0.2669884105899512, 'p_ACC': np.float64(0.000999000999000999), 'p_ARI': np.float64(0.000999000999000999), 'p_NMI': np.float64(0.000999000999000999)}
