{'ACC': np.float64(0.4351042367182246), 'ARI': 0.3354383523523668, 'NMI': 0.7065978763545299, 'p_ACC': np.float64(0.000999000999000999), 'p_ARI': np.float64(0.000999000999000999), 'p_NMI': np.float64(0.000999000999000999)}
{'ACC': np.float64(0.2512248230811105), 'ARI': 0.13369377701541124, 'NMI': 0.5047565370277202, 'p_ACC': np.float64(0.000999000999000999), 'p_ARI': np.float64(0.000999000999000999), 'p_NMI': np.float64(0.000999000999000999)}
{'ACC': np.float64(0.3093476798924008), 'ARI': 0.22499349203739782, 'NMI': 0.616509147194977, 'p_ACC': np.float64(0.000999000999000999), 'p_ARI': np.float64(0.000999000999000999), 'p_NMI': np.float64(0.000999000999000999)}
{'ACC': np.float64(0.4642042863657091), 'ARI': 0.43497381238647564, 'NMI': 0.7228303083731688, 'p_ACC': np.float64(0.000999000999000999), 'p_ARI': np.float64(0.000999000999000999), 'p_NMI': np.float64(0.000999000999000999)}
{'ACC': np.float64(0.18703703703703703), 'ARI': 0.08182345589682143, 'NMI': 0.2791103746439252, 'p_ACC': np.float64(0.000999000999000999), 'p_ARI': np.float64(0.000999000999000999), 'p_NMI': np.float64(0.000999000999000999)}
{'ACC': np.float64(0.4351042367182246), 'ARI': 0.3354383523523668, 'NMI': 0.70659787635453, 'p_ACC': np.float64(0.000999000999000999), 'p_ARI': np.float64(0.000999000999000999), 'p_NMI': np.float64(0.000999000999000999)}
{'ACC': np.float64(0.2512248230811105), 'ARI': 0.13369377701541124, 'NMI': 0.50475653702772, 'p_ACC': np.float64(0.000999000999000999), 'p_ARI': np.float64(0.000999000999000999), 'p_NMI': np.float64(0.000999000999000999)}
{'ACC': np.float64(0.3093476798924008), 'ARI': 0.22499349203739782, 'NMI': 0.616509147194977, 'p_ACC': np.float64(0.000999000999000999), 'p_ARI': np.float64(0.000999000999000999), 'p_NMI': np.float64(0.000999000999000999)}
{'ACC': np.float64(0.4642042863657091), 'ARI': 0.43497381238647564, 'NMI': 0.7228303083731686, 'p_ACC': np.float64(0.000999000999000999), 'p_ARI': np.float64(0.000999000999000999), 'p_NMI': np.float64(0.000999000999000999)}
{'ACC': np.float64(0.18703703703703703), 'ARI': 0.08182345589682143, 'NMI': 0.2791103746439252, 'p_ACC': np.float64(0.000999000999000999), 'p_ARI': np.float64(0.000999000999000999), 'p_NMI': np.float64(0.000999000999000999)}
