{'ACC': np.float64(0.20129224652087474), 'ARI': 0.08586946614898008, 'NMI': 0.3162146878306498, 'p_ACC': np.float64(0.000999000999000999), 'p_ARI': np.float64(0.000999000999000999), 'p_NMI': np.float64(0.000999000999000999)}
{'ACC': np.float64(0.27946688879633486), 'ARI': 0.1519559042294967, 'NMI': 0.4916007998204218, 'p_ACC': np.float64(0.000999000999000999), 'p_ARI': np.float64(0.000999000999000999), 'p_NMI': np.float64(0.000999000999000999)}
{'ACC': np.float64(0.48184263618022866), 'ARI': 0.42182199764699646, 'NMI': 0.7029476868372544, 'p_ACC': np.float64(0.000999000999000999), 'p_ARI': np.float64(0.000999000999000999), 'p_NMI': np.float64(0.000999000999000999)}
{'ACC': np.float64(0.4685362517099863), 'ARI': 0.4100396059440705, 'NMI': 0.7279520109895625, 'p_ACC': np.float64(0.000999000999000999), 'p_ARI': np.float64(0.000999000999000999), 'p_NMI': np.float64(0.000999000999000999)}
{'ACC': np.float64(0.20129224652087474), 'ARI': 0.08586946614898008, 'NMI': 0.3162146878306498, 'p_ACC': np.float64(0.000999000999000999), 'p_ARI': np.float64(0.000999000999000999), 'p_NMI': np.float64(0.000999000999000999)}
{'ACC': np.float64(0.27946688879633486), 'ARI': 0.1519559042294967, 'NMI': 0.49160079982042193, 'p_ACC': np.float64(0.000999000999000999), 'p_ARI': np.float64(0.000999000999000999), 'p_NMI': np.float64(0.000999000999000999)}
{'ACC': np.float64(0.48184263618022866), 'ARI': 0.42182199764699646, 'NMI': 0.7029476868372544, 'p_ACC': np.float64(0.000999000999000999), 'p_ARI': np.float64(0.000999000999000999), 'p_NMI': np.float64(0.000999000999000999)}
{'ACC': np.float64(0.3043039677202421), 'ARI': 0.20285405146320565, 'NMI': 0.6044753558219066, 'p_ACC': np.float64(0.000999000999000999), 'p_ARI': np.float64(0.000999000999000999), 'p_NMI': np.float64(0.000999000999000999)}
{'ACC': np.float64(0.4685362517099863), 'ARI': 0.4100396059440705, 'NMI': 0.7279520109895625, 'p_ACC': np.float64(0.000999000999000999), 'p_ARI': np.float64(0.000999000999000999), 'p_NMI': np.float64(0.000999000999000999)}
